EntFlag,RecNo,State,MSA,County,Tract,PctMinority,MedIncome,areaMedIncome,TractIncomeRatio,areaMedFamInc,UPB,Purpose,InstType,FedGuaran,LienStat,year,FamilyType
2,242,42,38300,003,040500,21.1,36691,47195,0.7774,60000,6700000,9,3,1,4,2008,mf
2,588,42,38300,003,050700,33.05,20530,47195,0.43500000000000005,60000,5500000,2,1,1,1,2008,mf
2,1317,42,38300,003,474102,5.2,105113,47195,2.2272000000000003,60000,13800000,1,1,1,1,2008,mf
2,1587,42,38300,003,470500,18.29,59356,47195,1.2576999999999998,60000,8000000,2,1,1,1,2008,mf
2,1687,42,38300,003,413100,8.4,90177,47195,1.9106999999999998,60000,25000000,2,1,1,1,2008,mf
2,1690,42,38300,003,473401,5.31,74545,47195,1.5795,60000,1955000,2,1,1,1,2008,mf
2,310,42,38300,003,521401,8.209999999999999,47917,47195,1.0152999999999999,62500,3240000,1,1,1,1,2009,mf
2,385,42,38300,003,429300,2.24,61395,47195,1.3009,62500,4932000,2,3,1,1,2009,mf
2,741,42,38300,003,480101,10.96,46285,47195,0.9807,62500,6269000,2,1,1,1,2009,mf
2,847,42,38300,003,310200,1.96,44965,47195,0.9527000000000001,62500,8000000,2,1,1,1,2009,mf
2,65,42,38300,003,451103,7.4,67732,47195,1.4351999999999998,63000,14570000,2,1,1,1,2010,mf
2,178,42,38300,003,475101,5.06,59440,47195,1.2594999999999998,63000,10550000,2,1,1,1,2010,mf
2,185,42,38300,003,521401,8.209999999999999,47917,47195,1.0152999999999999,63000,10980000,2,1,1,1,2010,mf
2,258,42,38300,003,475101,5.06,59440,47195,1.2594999999999998,63000,15905000,2,1,1,1,2010,mf
2,346,42,38300,003,523702,14.81,45750,47195,0.9693999999999999,63000,7525000,1,1,1,1,2010,mf
2,381,42,38300,003,281400,37.03,32390,47195,0.6862999999999999,63000,6750000,2,1,1,1,2010,mf
2,544,42,38300,003,526201,2.86,48786,47195,1.0336999999999998,63000,5325000,2,1,1,1,2010,mf
